Creative,Creative ID,Ad server impressions,Ad server clicks,Ad server CTR
d_sir_brand_financialtimes_na_mix_takeover_gps_n/a_house+homeroadblockbanners-100sov_n/a_brandawareness_ba,138424100901,"3,050",4,0.13%
d_sir_brand_financialtimes_na_mix_takeover_mix_n/a_lifestyleexclusivedisplay-100sov_n/a_brandawareness_ba,138428810363,491,0,0.00%
d_sir_brand_financialtimes_na_mix_takeover_gps_n/a_house+homeroadblockbanners-100sov_n/a_brandawareness_ba,138428857548,"2,097",21,1.00%
d_sir_brand_financialtimes_na_mix_takeover_gps_n/a_house+homeroadblockbanners-100sov_n/a_brandawareness_ba,138459124914,"3,115",14,0.45%
d_sir_brand_financialtimes_na_mix_takeover_mix_n/a_house+homeroadblockbanners-100sov_seller_brandawareness_ba,138483551874,"2,977",3,0.10%
d_sir_brand_financialtimes_na_mix_takeover_mix_n/a_house+homeroadblockbanners-100sov_seller_brandawareness_ba,138483705425,"3,153",7,0.22%
d_sir_brand_financialtimes_na_mix_takeover_mix_n/a_house+homeroadblockbanners-100sov_seller_brandawareness_ba,138484299460,"2,073",3,0.14%
d_sir_brand_financialtimes_na_mix_takeover_mix_n/a_house+homeroadblockbanners-100sov_seller_brandawareness_ba (copy),138501491562,385,0,0.00%
d_sir_brand_financialtimes_na_mix_takeover_mix_n/a_house+homeroadblockbanners-100sov_seller_brandawareness_ba (copy),138501708362,"2,956",5,0.17%
d_sir_brand_financialtimes_na_mix_takeover_mix_n/a_house+homeroadblockbanners-100sov_seller_brandawareness_ba (copy),138501708365,"2,103",2,0.10%
d_sir_brand_financialtimes_na_mix_takeover_mix_n/a_house+homeroadblockbanners-100sov_seller_brandawareness_ba,138502296031,403,0,0.00%
FT_Display|SwellShark_Brand_Awareness_Reach_buyer-seller_EMEA|PUB-Contextual|househome-roadblock 728x90,138504159906,"2,135",2,0.09%
FT_Display|SwellShark_Brand_Awareness_Reach_buyer-seller_EMEA|PUB-Contextual|househome-roadblock 300x600 Tablet,138504159966,"1,377",8,0.58%
FT_Display|SwellShark_Brand_Awareness_Reach_buyer-seller_EMEA|PUB-Contextual|househome-roadblock 300x600 Tablet (copy),138504164940,"1,324",9,0.68%
FT_Display|SwellShark_Brand_Awareness_Reach_buyer-seller_EMEA|PUB-Contextual|househome-roadblock 300x250 Mobile (copy),138504164943,"9,597",25,0.26%
FT_Display|SwellShark_Brand_Awareness_Reach_buyer-seller_EMEA|PUB-Contextual|househome-roadblock 300x250 Mobile,138504334109,"9,364",17,0.18%
FT_Display|SwellShark_Brand_Awareness_Reach_buyer-seller_EMEA|PUB-Contextual|househome-roadblock 970x250,138504334520,"33,031",65,0.20%
FT_Display|SwellShark_Brand_Awareness_Reach_buyer-seller_EMEA|PUB-Contextual|househome-roadblock 300x600 (copy),138504339089,"23,368",41,0.18%
FT_Display|SwellShark_Brand_Awareness_Reach_buyer-seller_EMEA|PUB-Contextual|househome-roadblock 300x600,138504929140,"23,348",27,0.12%
Sothebys 1OF1 Campaign Film 15s 4-5 (320x400),138506063895,"3,742",34,0.91%
Total,,"130,089",287,0.22%
